time,cityname,aqi,pm2_5,pm10,so2,no2,co,o3
2019-11-26 04:00:00,南阳,142.85324805223541,110.82345249116263,174.38597513643117,12.366817011827893,49.83310286202436,1.0660155811257537,38.64102146188203
2019-11-26 05:00:00,南阳,142.8331943391515,110.80853268740837,174.34701206903154,12.363118430792488,49.83146156716329,1.0661260182670491,38.59718370850642
2019-11-26 06:00:00,南阳,142.78215893001482,110.7679771848282,174.26951639187715,12.358471034745017,49.819762337276984,1.0661051488803193,38.54431557015675
2019-11-26 07:00:00,南阳,142.70141495517723,110.70249223591081,174.1548278830787,12.352791784535087,49.798031940879866,1.0659535600374648,38.483871432471396
2019-11-26 08:00:00,南阳,142.59130909695904,110.61293197200858,174.00396257745243,12.346289533723562,49.766119992314806,1.0656861932442434,38.4171210578135
2019-11-26 09:00:00,南阳,142.4528792954523,110.4999288301813,173.8181289086884,12.339428930052575,49.72472861829136,1.0653016484626319,38.344509019126804
2019-11-26 10:00:00,南阳,142.28634688869295,110.36346148162708,173.5978365272813,12.332459637030802,49.674481891110766,1.064798856023774,38.2666970349649
2019-11-26 11:00:00,南阳,142.0898169458472,110.2021207099566,173.3408422337058,12.325444589468487,49.61576433761637,1.0641616998434194,38.18557153759276
2019-11-26 12:00:00,南阳,141.86209189120532,110.01479969498827,173.04736369326116,12.31800385224663,49.54746607019154,1.0633615039282334,38.10363010510596
2019-11-26 13:00:00,南阳,141.60109194504682,109.80017158323086,172.71640587896513,12.30995356495056,49.46755990400805,1.062374738031781,38.023648033346205
2019-11-26 14:00:00,南阳,141.30569413752153,109.55745804205176,172.34789241458782,12.301137518566739,49.376097035809465,1.0612110077964614,37.94704099051856
2019-11-26 15:00:00,南阳,140.9780315526889,109.28743721085424,171.94366599236784,12.291567069035798,49.27433092968659,1.0598796822638696,37.87276751498325
2019-11-26 16:00:00,南阳,140.62073486573226,108.99193906537465,171.50606569111562,12.28140786346555,49.16342547637938,1.0583911129036319,37.799525258554716
2019-11-26 17:00:00,南阳,140.23612913032028,108.67303758560244,171.0375733237228,12.270671923820089,49.04489475737788,1.056587542559236,37.72600389178058
2019-11-26 18:00:00,南阳,139.82607315266384,108.33220828316242,170.5412063867628,12.25980773920095,48.92147458230782,1.0546482239352692,37.64957453528908
2019-11-26 19:00:00,南阳,139.3933812786723,107.97218598116503,170.02212596910206,12.248637217107417,48.79645672048964,1.052611375600031,37.56651505245634
2019-11-26 20:00:00,南阳,138.94159706349217,107.59557073154907,169.4854990919399,12.237149782750784,48.66986914615758,1.050497164898278,37.476594438192336
2019-11-26 21:00:00,南阳,138.47246993263843,107.20455901911791,168.92975272665277,12.22604263959505,48.54103910170254,1.0483078500778402,37.38048131793723
2019-11-26 22:00:00,南阳,137.98635045277004,106.79945640253815,168.35582534882545,12.215045027021144,48.40782709852048,1.0460587071898273,37.2793515034665
2019-11-26 23:00:00,南阳,137.4847057397764,106.38143428890982,167.76506003690076,12.20349340003468,48.26918565626268,1.0437628030054826,37.17363924588502
2019-11-27 00:00:00,南阳,136.96938781182592,105.95197269174626,167.157833852558,12.191108885697123,48.12349719959944,1.0413874770684197,37.06468728222434
2019-11-27 01:00:00,南阳,136.44097333037635,105.51161932198126,166.53251935277555,12.177648405474296,47.970279746162156,1.0389183407634703,36.95240202041187
2019-11-27 02:00:00,南阳,135.90006144721733,105.06078697291078,165.8879433169413,12.163185690998807,47.80857551470331,1.0363874067733725,36.837740854837705
2019-11-27 03:00:00,南阳,135.34513266758657,104.59822764192262,165.22209118560468,12.147803031282757,47.63782985118678,1.033780776822569,36.721635222794276
2019-11-27 04:00:00,南阳,134.77335139731267,104.12164375360172,164.53334435556374,12.131436663107541,47.45776990244746,1.0310730753169213,36.60535242878072
2019-11-27 05:00:00,南阳,134.18205913699327,103.62896749167935,163.81770184139185,12.114171497903397,47.26724085389583,1.0282426174007349,36.49114673221407
2019-11-27 06:00:00,南阳,133.57108548950575,103.12008686362377,163.07558402057128,12.096087580000447,47.06687636279828,1.0252995073194497,36.37843352716538
2019-11-27 07:00:00,南阳,132.94154750413372,102.59586447905609,162.308539962196,12.077260170410531,46.858280101658664,1.0222677349392553,36.26646216479692
2019-11-27 08:00:00,南阳,132.29537815252468,102.05784489007857,161.51855973712742,12.05805489396528,46.64241968092265,1.0191827801599858,36.155960527090386
2019-11-27 09:00:00,南阳,131.63500600276782,101.50797024050546,160.71125091149307,12.03879596956616,46.42028896947904,1.0160752154425843,36.04732436641687
2019-11-27 10:00:00,南阳,130.96180971504543,100.94735116249662,159.88638501887954,12.019460864774512,46.191488816714816,1.0129144127230107,35.94230201042109
2019-11-27 11:00:00,南阳,130.2745748428859,100.37496526004284,159.0402487145026,12.000144287041678,45.954708408455964,1.0096596202667105,35.84333307775085
2019-11-27 12:00:00,南阳,129.5715193412636,99.78945459677519,158.1682347817805,11.980329052923011,45.70742841540922,1.0062904518554647,35.75269038750835
2019-11-27 13:00:00,南阳,128.85234628759784,99.19027252133465,157.26789766535956,11.959999834280831,45.44940326459049,1.0028348824095779,35.671031908775255
2019-11-27 14:00:00,南阳,128.11713601898194,98.57612479761981,156.3371378050737,11.93932053601742,45.181420312485194,0.9992909490080105,35.598458698105446
2019-11-27 15:00:00,南阳,127.36586614428481,97.94683933366508,155.3767821194443,11.918017066001859,44.90551159485644,0.9956586600702737,35.53284773571222
2019-11-27 16:00:00,南阳,126.60045753434565,97.3040616589669,154.38871778114208,11.89599103469513,44.622734319017,0.9919693654186824,35.472254519058275
2019-11-27 17:00:00,南阳,125.82315347519743,96.64963239212595,153.37684488092503,11.873306169992569,44.333750000802574,0.9882087879481174,35.4146716133211
2019-11-27 18:00:00,南阳,125.03623782540492,95.98548239472126,152.34202684870004,11.849855730915653,44.04263663378904,0.9844067965330315,35.35315172905834
2019-11-27 19:00:00,南阳,124.24449165309463,95.31593276304179,151.28995079607245,11.825647136456645,43.75188898954021,0.9805877164199185,35.28332564116013
2019-11-27 20:00:00,南阳,123.45110691378606,94.64476207833565,150.22525015094826,11.800215010171273,43.46047466593383,0.976771910425151,35.206985781318735
2019-11-27 21:00:00,南阳,122.656634324966,93.97315896686811,149.14749200019756,11.77355806417026,43.16758411867653,0.9729631060924162,35.12403190876398
2019-11-27 22:00:00,南阳,121.86061958415557,93.3016584932068,148.05721545091302,11.74566603668518,42.87297347837843,0.9691933679674894,35.03501956311299
2019-11-27 23:00:00,南阳,121.06530873636197,92.63236415479861,146.95841504986353,11.71625003769828,42.57480783181759,0.9654758701127276,34.94102615552985
2019-11-28 00:00:00,南阳,120.27178228172647,91.96678832946797,145.85268596902472,11.68550985300961,42.27084733484702,0.9617639253415237,34.84388874915603
2019-11-28 01:00:00,南阳,119.4817043186382,91.30605362498035,144.73971735016556,11.653338760706744,41.95937549598252,0.9580303110550458,34.74563928104686
2019-11-28 02:00:00,南阳,118.69540921125555,90.65010908753106,143.61822956932812,11.619938711736287,41.63960357804942,0.9542504956174223,34.64771269550268
2019-11-28 03:00:00,南阳,117.91199594309121,89.99810801244678,142.48735815855588,11.585217432297384,41.312512722519706,0.95044742337929,34.54937124184562
2019-11-28 04:00:00,南阳,117.1327704973282,89.35094151690375,141.34938976060866,11.549261130575557,40.97922531368213,0.9466440420382628,34.44999317414671
2019-11-28 05:00:00,南阳,116.35838818559671,88.70887988974275,140.20531637882928,11.512461742120188,40.640721701871755,0.9428478788116624,34.349913913074936
2019-11-28 06:00:00,南阳,115.59018287052879,88.07202727792082,139.05562676929426,11.475042699599099,40.29748712469592,0.9390676234243923,34.24953120121011
2019-11-28 07:00:00,南阳,114.83027590548225,87.44182359358932,137.90243917428216,11.437213054048913,39.95215859102976,0.9353425327656717,34.14814199925351
2019-11-28 08:00:00,南阳,114.08071460267703,86.82040024920833,136.74855154854677,11.399155764668844,39.60587373198534,0.9317079267648866,34.04612175592393
2019-11-28 09:00:00,南阳,113.34269109199339,86.209559605871,135.59588129090864,11.361324254600094,39.259426183947106,0.9281670879773968,33.94421008031213
2019-11-28 10:00:00,南阳,112.61586277984792,85.60903647803873,134.4419103326053,11.323675513631605,38.913033235031826,0.924710381870088,33.843417338547034
2019-11-28 11:00:00,南阳,111.89851303140027,85.01716122697147,133.28558901277674,11.286158418934411,38.56689223274651,0.9213304722553743,33.74433522022124
2019-11-28 12:00:00,南阳,111.1905017531672,84.43379992413738,132.12636749412312,11.248856124400023,38.22046383069485,0.9180209589019733,33.64772050618214
2019-11-28 13:00:00,南阳,110.49045017787243,83.85755407333767,130.96268774040513,11.211655771793865,37.872983032597915,0.9148046282387162,33.553273788592136
2019-11-28 14:00:00,南阳,109.79792385236732,83.28681374416493,129.79411575786662,11.174135427782952,37.52522797672855,0.9116732673386251,33.459404652176005
2019-11-28 15:00:00,南阳,109.11251272644328,82.72086973013685,128.6211058925984,11.136205053682389,37.17814292390132,0.9086208929620878,33.36412083361384
2019-11-28 16:00:00,南阳,108.43406700124088,82.16003192020446,127.4427102245576,11.097644378373625,36.83233786460519,0.9056423925820358,33.26633433009036
2019-11-28 17:00:00,南阳,107.76434000121799,81.60516866078311,126.2624911114374,11.058280296361891,36.489553120545516,0.9027334908797723,33.164466206265324
2019-11-28 18:00:00,南阳,107.10545001836854,81.0582145007757,125.0847563021351,11.01827927989243,36.153420487156694,0.8999343680087155,33.05443754938588
2019-11-28 19:00:00,南阳,106.46012819067406,80.52201892305726,123.91466201574572,10.977966551499888,35.82624005564513,0.89729404675671,32.93529431976582
2019-11-28 20:00:00,南阳,105.83037131259465,79.9996814771634,122.7570751621495,10.937363851381402,35.50787837354411,0.8948258593618446,32.80803851383766
2019-11-28 21:00:00,南阳,105.21414374776047,79.4894125135279,121.60996673862235,10.896496592912728,35.19822394503982,0.892555103701892,32.67264451784032
2019-11-28 22:00:00,南阳,104.61308923970928,78.99219422796415,120.47635565112203,10.85539376767633,34.897862916214635,0.8905038573331872,32.528978769455286
2019-11-28 23:00:00,南阳,104.02988697258847,78.51009579397125,119.36051522696638,10.813804975413184,34.6062524787416,0.8886628614247031,32.37800300266205
2019-11-29 00:00:00,南阳,103.46474983722182,78.04306436768114,118.26253174348966,10.771967652054855,34.322121193600005,0.8870094067360351,32.22094152976469
2019-11-29 01:00:00,南阳,102.91763091249118,77.59093889906725,117.18194814097806,10.729823999585992,34.045598744962454,0.885525074456067,32.05821834499451
2019-11-29 02:00:00,南阳,102.38930983240117,77.15422928739932,116.12031622288441,10.687339997811288,33.7767475940903,0.8842237598203898,31.890264183213898
2019-11-29 03:00:00,南阳,101.88000477257732,76.7328826629688,115.07811024505096,10.644657587388028,33.51541599342215,0.8830888250830311,31.718105889448843
2019-11-29 04:00:00,南阳,101.38895010490445,76.32627383719183,114.05517170220442,10.601773193033337,33.26154002678572,0.8821063152750224,31.54259710518852
2019-11-29 05:00:00,南阳,100.91709859161192,75.93500084217867,113.05393783647482,10.559127509455939,33.01615296512485,0.8812943111946446,31.36399339021411
2019-11-29 06:00:00,南阳,100.46619081630703,75.5603018747763,112.07763388344088,10.516683600016533,32.779856994261046,0.8806413067017497,31.182387572308834
