site,code,date,nox,no2,no,o3,pm2.5,ws,wd,air_temp
London Bloomsbury,CLL2,2018-01-01 00:00:00,38.7193709245407,27.599581767862478,7.25214108152548,47.36031806575136,7.497624835055013,4.598855442195207,257.27990561664984,5.378717356724874
London Bloomsbury,CLL2,2018-01-01 01:00:00,38.97658227126352,27.836511779313053,7.265368082418142,47.04212747782108,7.449653346520095,4.603798027977756,257.0091386765337,5.412134480881516
London Bloomsbury,CLL2,2018-01-01 02:00:00,39.251381980575886,28.072884811129185,7.29042919103171,46.715825057819146,7.416400867943509,4.621557221959714,256.76260326333596,5.453969533789987
London Bloomsbury,CLL2,2018-01-01 03:00:00,37.98525400090246,27.99745058771976,6.513878924626131,46.400862845013194,7.358787449667536,4.636919061111815,256.53855027185136,5.502387869074088
London Bloomsbury,CLL2,2018-01-01 04:00:00,38.97391885179538,28.512513421527835,6.822754028047454,46.03361021090425,7.3028176075884135,4.658490511703739,256.3424721227929,5.554476513441309
London Bloomsbury,CLL2,2018-01-01 05:00:00,39.90289048688489,28.992966588552076,7.115270039387891,45.67642853687213,7.227250367993553,4.698925060850937,256.2935312241196,5.612289640707916
London Bloomsbury,CLL2,2018-01-01 06:00:00,40.66606132214178,29.396791346484868,7.349629405853315,45.306499205228334,7.1590372976414685,4.743610243934431,256.3449272390867,5.6729278286579365
London Bloomsbury,CLL2,2018-01-01 07:00:00,41.53594229514786,29.88528248925659,7.598365262942614,44.908694617647015,7.101572602430611,4.788581862898467,256.43641648546037,5.733701696761897
London Bloomsbury,CLL2,2018-01-01 08:00:00,42.51654843618143,30.410548055890988,7.8953305875562645,44.485323759897945,7.018703704014602,4.833752682687769,256.533728968204,5.795696347474405
London Bloomsbury,CLL2,2018-01-01 09:00:00,43.69224083822137,31.031061461073016,8.257408790212276,44.08876052225797,6.986721808252876,4.880226438487189,256.6338153563168,5.857519238291662
London Bloomsbury,CLL2,2018-01-01 10:00:00,44.889518909035004,31.663361821746783,8.625877516292542,43.68436454706333,6.92815507174173,4.92543994416761,256.7623840746729,5.917882000610838
London Bloomsbury,CLL2,2018-01-01 11:00:00,46.08340459875766,32.318135187688796,8.977477282940027,43.24291580162218,6.907418875630555,4.972981355410582,256.8917975332634,5.977977298556642
London Bloomsbury,CLL2,2018-01-01 12:00:00,47.24881068422521,32.94487371512942,9.32878709640348,42.832330773224356,6.859958940235335,5.022568640435432,257.0108533958825,6.031761351988519
London Bloomsbury,CLL2,2018-01-01 13:00:00,48.471542563187086,33.66083824055966,9.659292045552544,42.250597411778436,6.895383148217242,5.07392484911522,257.14851437843714,6.087967321576486
London Bloomsbury,CLL2,2018-01-01 14:00:00,49.69288783982992,34.38957070676345,9.98056566779413,41.673302380738235,6.940550241460489,5.123210283909957,257.2694785714112,6.135587667840349
London Bloomsbury,CLL2,2018-01-01 15:00:00,50.85306040019598,35.05695390060444,10.301954377513365,41.15202123811165,6.976831724422536,5.169271240040021,257.32108564439545,6.174041218984639
London Bloomsbury,CLL2,2018-01-01 16:00:00,51.97887670621774,35.7130252000848,10.608314041852136,40.67930830003516,7.040641880615607,5.231272496902352,257.46808094725344,6.211162360527316
London Bloomsbury,CLL2,2018-01-01 17:00:00,52.90842573273932,36.19872083827638,10.897787534773551,40.388780543195814,7.048810469558942,5.295843376655152,258.3432750240777,6.2494117985810895
