site,code,date,nox,no2,no,o3,pm2.5,ws,wd,air_temp
London Marylebone Road,MY1,2018-11-02 13:00:00,324.056470477213,92.70814319633958,150.88144946958812,5.337196691742216,18.040059353708106,2.6239100276262155,247.3240768751592,6.565937844597033
London Marylebone Road,MY1,2018-11-02 14:00:00,321.82353739231075,92.49692626108097,149.56292045525922,5.548249568928417,18.062795180552445,2.6240455383917003,248.05431491675736,6.527722453623085
London Marylebone Road,MY1,2018-11-02 15:00:00,319.0895061196883,92.32423548121977,147.89245756805417,5.749301684817165,18.06024605366524,2.6156979058494696,248.61235282250615,6.470229639928388
London Marylebone Road,MY1,2018-11-02 16:00:00,315.8974557937196,92.08092164790172,145.96934164583573,5.904719466311419,17.93962029882799,2.5945548386649353,248.18962173853868,6.391751798479403
London Marylebone Road,MY1,2018-11-02 17:00:00,311.09031624921784,91.70932056566284,143.07655889352378,6.046208846191061,17.866268490860318,2.585691757048498,246.9692807256978,6.303376081331058
London Marylebone Road,MY1,2018-11-02 18:00:00,309.20224601775254,91.62105380886699,141.90275764667254,6.182469631963028,17.742240738255596,2.580083135853599,245.7100088250412,6.2051736316352315
London Marylebone Road,MY1,2018-11-02 19:00:00,306.94228486595864,91.46208268310963,140.5325276463043,6.303244883595936,17.681628466739486,2.5754342696552373,244.29525475167296,6.103464332717156
London Marylebone Road,MY1,2018-11-02 20:00:00,302.5053451526385,90.98745858726865,137.94837263510874,6.414185000321428,17.623736065675068,2.5717282196077247,242.78386608816535,5.997948197619742
London Marylebone Road,MY1,2018-11-02 21:00:00,300.72127109942505,90.62416172320394,137.02176591639645,6.511807182165257,17.59284333769092,2.5676579843779774,241.2801168440619,5.903048653444117
London Marylebone Road,MY1,2018-11-02 22:00:00,301.1805675347198,90.59640046785228,137.33941663428158,6.606884768857988,17.614859263593637,2.57592092269178,240.1705101471204,5.867920705873244
London Marylebone Road,MY1,2018-11-02 23:00:00,300.5051937413495,90.72393760031929,136.8157716471344,6.704640044653774,17.62229304541113,2.6100511722517794,239.19254030165385,5.862610885916234
London Marylebone Road,MY1,2018-11-03 00:00:00,297.2227681727145,90.42585145758319,134.86943619756147,6.872695587170621,17.587646669223087,2.652142679283925,238.07102153087249,5.868127867955977
London Marylebone Road,MY1,2018-11-03 01:00:00,294.3857252387902,90.22448690522558,133.15049154318706,7.048034722520284,17.57646957189756,2.6971749393155156,236.9110258333398,5.885086532090841
London Marylebone Road,MY1,2018-11-03 02:00:00,289.20797358773586,89.26676686736221,130.39825869191364,7.57240784368194,17.656066901657915,2.7388373853864487,235.65890991743132,5.919129207818652
London Marylebone Road,MY1,2018-11-03 03:00:00,285.66277499505054,89.05745149656255,128.222652303954,7.8455274152645496,17.62854788356892,2.7705052349491606,234.19058369559068,5.964961150755049
London Marylebone Road,MY1,2018-11-03 04:00:00,283.7076798832466,89.28184920893749,126.80122407707884,8.05548170009793,17.622541538277332,2.785026060412983,232.2953814542434,5.998225486523613
London Marylebone Road,MY1,2018-11-03 05:00:00,282.87949201913364,89.11190355934121,126.37192978621555,8.230059923924383,17.67723453016867,2.8017357235162734,229.94082905477217,6.018265157300202
London Marylebone Road,MY1,2018-11-03 06:00:00,283.48391172825967,89.64154623954072,126.42069802150957,8.3956259679416,17.689476403334012,2.8207400920445687,227.61029407520962,6.049251895877899
London Marylebone Road,MY1,2018-11-03 07:00:00,280.3514734894265,89.40563354665393,124.5316332097263,8.562602418524992,17.557611385607522,2.8383756324530256,225.0473759186314,6.085329943303266
London Marylebone Road,MY1,2018-11-03 08:00:00,278.3857602311896,89.3261304574828,123.3014790040485,8.692356125540508,17.263487640564367,2.8520639136514094,222.238379358912,6.119765092085602
London Marylebone Road,MY1,2018-11-03 09:00:00,276.45690962937005,89.26975811274004,122.08028049229596,8.783791381206932,16.73964570709697,2.8604106992513523,219.33496550395398,6.155842970122512
London Marylebone Road,MY1,2018-11-03 10:00:00,274.430015071212,89.04332825385764,120.90604799130985,8.863632756522604,16.513885110578673,2.8644960100537618,216.15212455463438,6.1951441411049
London Marylebone Road,MY1,2018-11-03 11:00:00,274.0918919837686,88.89862491990327,120.77990284562732,8.94477477556522,16.661122300153107,2.8677733379169763,212.87729720382035,6.240436751194673
London Marylebone Road,MY1,2018-11-03 12:00:00,274.16566540609296,88.9239408205332,120.81150607220641,9.014078388841186,16.96316156778505,2.874987931071309,209.45458238114594,6.300027102150593
London Marylebone Road,MY1,2018-11-03 13:00:00,274.2374130770525,88.7338882744046,120.9822476904589,9.08171644216126,17.42741111763505,2.8874264642350225,205.93726207265712,6.369624923137457
London Marylebone Road,MY1,2018-11-03 14:00:00,271.5498293170873,88.23558536410783,119.55443599335658,9.15409029539291,17.786254804273028,2.9003352197549637,202.22057883415448,6.438530114724245
London Marylebone Road,MY1,2018-11-03 15:00:00,267.9111732206967,87.74320371246897,117.5024892152105,9.232104265807488,17.969771105371105,2.909946490185324,198.6703680302214,6.511229438356108
London Marylebone Road,MY1,2018-11-03 16:00:00,263.4386740934553,87.13693690888016,114.98099824719031,9.28027428986063,18.208673027760607,2.9134734966339417,195.02345623587382,6.583165666989841
London Marylebone Road,MY1,2018-11-03 17:00:00,259.2735504244523,86.4180293230217,112.73343471645816,9.324470318514367,18.635404220136614,2.913392190174651,191.42339237642707,6.658405478697599
London Marylebone Road,MY1,2018-11-03 18:00:00,256.42829097715105,85.71863417112294,111.33393835988592,9.35196105393128,19.145368496110855,2.9148611268724904,187.833647322995,6.738633611071265
London Marylebone Road,MY1,2018-11-03 19:00:00,256.8959861247983,85.31464080105502,111.90243879565436,9.36039111186212,19.668457497887527,2.914307396007036,184.55968266759166,6.831274529563197
London Marylebone Road,MY1,2018-11-03 20:00:00,258.0175284729962,85.09608976470264,112.77642496513748,9.363849953668547,20.220793110624648,2.9045885639065707,181.42503730773566,6.918848361756791
London Marylebone Road,MY1,2018-11-03 21:00:00,258.7263937147723,84.84441180212409,113.40287485185011,9.359194463009477,20.716804181853977,2.8897662269895474,178.21079682016918,6.992430368637327
London Marylebone Road,MY1,2018-11-03 22:00:00,259.99762354080997,84.53166458122979,114.43591782670072,9.343422419761227,21.2515538850005,2.87042985708582,174.76004058540494,7.068492222526197
London Marylebone Road,MY1,2018-11-03 23:00:00,261.149356979497,84.23384291839423,115.38129314495586,9.305150044088126,21.8027742441377,2.835228903090043,171.33676237672304,7.158125140801315
London Marylebone Road,MY1,2018-11-04 00:00:00,261.3414968967842,83.94506814426538,115.69493754658247,9.264231300679471,22.269529726818398,2.8293826298901807,168.91508353385038,7.246487815038478
London Marylebone Road,MY1,2018-11-04 01:00:00,262.8186605655347,83.6359805964344,116.85990025254573,9.211760183342415,22.84542845962313,2.8232463636521823,166.71509556043182,7.327930462647785
