site,code,date,nox,no2,no,o3,pm2.5,ws,wd,air_temp
London Harlington,HRL,2018-01-01 00:00:00,25.65237633825406,17.162653613251155,5.536853369257654,58.31916163576114,4.669857205529018,6.536289952382309,254.6820241580807,4.977652411496788
London Harlington,HRL,2018-01-01 01:00:00,26.60372864274059,17.83668430122001,5.717717894383708,57.659574543670026,4.672703785321988,6.554847304772967,254.3128096631717,5.012679064770461
London Harlington,HRL,2018-01-01 02:00:00,27.500739948938588,18.461178151923615,5.895449142063312,57.03837683546219,4.6691819655479225,6.579387965625083,254.01442274944645,5.051039621651937
London Harlington,HRL,2018-01-01 03:00:00,28.37969962126867,19.06832446575372,6.072721266768569,56.435794791316404,4.654886719773744,6.636912116184296,253.86124375158275,5.0996309025504845
London Harlington,HRL,2018-01-01 04:00:00,29.266844376271127,19.683218553038458,6.25027860896012,55.82770424322642,4.636542004100746,6.716428647650712,253.90322464795256,5.1564234643645515
London Harlington,HRL,2018-01-01 05:00:00,30.121467842212827,20.281592837980714,6.417400013645833,55.23001615423335,4.63162145406255,6.804128166079292,254.13302363467045,5.218312924845355
London Harlington,HRL,2018-01-01 06:00:00,30.955229047921968,20.87278763066302,6.5755977728378605,54.631340768968045,4.63743403420446,6.891998428072385,254.3228381373715,5.283597607555337
London Harlington,HRL,2018-01-01 07:00:00,31.765220762391674,21.447874173143177,6.72879896920962,54.06226919621335,4.629119869433538,6.979782810117851,254.55801876475232,5.3494958152560494
London Harlington,HRL,2018-01-01 08:00:00,32.458844963655686,21.917766503574253,6.874713128659762,53.62630082164822,4.614238022963852,7.074365428490701,254.85498992975522,5.4193805802888235
London Harlington,HRL,2018-01-01 09:00:00,33.160127238094454,22.407141980868342,7.0129151820354485,53.19622477671644,4.610465360905681,7.16062378992837,255.23320877625355,5.490379582590785
London Harlington,HRL,2018-01-01 10:00:00,33.8627999099886,22.909684336991926,7.1434367423043845,52.75170819958302,4.609808711307727,7.238931395978219,255.50904771493305,5.557451991074409
London Harlington,HRL,2018-01-01 11:00:00,34.58419155217267,23.424600216715373,7.2780968111079325,52.3151559013037,4.630430063739034,7.312035219245046,255.6946222551702,5.621911582611061
London Harlington,HRL,2018-01-01 12:00:00,35.27702450628957,23.939711960750028,7.394003699744834,51.84555909888362,4.7213241654635425,7.3670149857938565,255.63614309249127,5.663562679655386
London Harlington,HRL,2018-01-01 13:00:00,35.44867252326112,24.18098446496189,7.348595810700236,51.40316898857805,4.844836523198367,7.420600007788925,255.61305781726054,5.700790535925878
London Harlington,HRL,2018-01-01 14:00:00,36.05588419844588,24.60635516380227,7.467189443434766,50.98708053179174,4.984569160458012,7.47034990573236,255.58273423449148,5.7315121815686005
